# Latitude (deg), Longitude (deg),Area (km^2)
79.455,321.478,99.0
79.801,50.182,50.0
80.194,309.924,104.668
80.268,132.982,28.822
80.44,26.947,21.0
80.526,134.258,13.612
80.77,53.759,15.657
80.829,223.302,12.186
80.934,150.321,106.0
81.037,115.79,27.0
81.048,230.939,31.54
81.107,137.584,37.634
81.201,140.117,16.294
81.356,121.151,11.707
81.383,22.786,84.0
81.497,82.824,80.0
81.519,250.162,339.0
81.597,120.98,137.351
81.797,132.218,12.496
81.819,151.345,14.08
81.826,213.992,255.946
81.96,263.24,140.0
82.0262,278.3769,317.336
82.202,225.764,21.823
82.219,33.552,21.506
82.219,69.857,15.811
82.22,64.301,135.025
82.224,213.437,29.326
82.284,22.22,30.002
82.338,291.343,154.55
82.344,197.636,111.503
82.373,162.069,93.989
82.38,107.642,17.05
82.423,34.39,11.0
82.453,145.909,41.706
82.466,149.706,80.953
82.471,66.694,24.541
82.492,201.971,49.748
82.524,156.688,16.441
82.557,265.74,13.702
82.571,116.2,20.077
82.586,269.418,10.26
82.593,15.692,10.49
82.625,26.768,19.498
82.642,205.4,18.547
82.661,262.887,28.728
82.715,29.042,14.0
82.741,1.626,32.648
82.786,195.526,15.631
82.848,141.13,60.124
82.943,98.711,123.059
82.954,70.784,18.785
83.056,215.066,11.304
83.071,226.981,61.938
83.072,129.99,28.012
83.096,82.431,108.054
83.116,255.6,13.169
83.121,119.914,12.964
83.135,121.976,28.019
83.199,11.671,21.712
83.231,306.702,11.365
83.251,305.0,13.007
83.263,72.616,34.628
83.327,251.79,18.691
83.394,15.914,10.246
83.489,112.329,11.786
83.522,171.869,11.711
83.575,99.202,11.527
83.594,96.328,10.487
83.685,64.95,63.331
83.706,85.614,39.229
83.71,294.06,13.565
83.719,346.076,48.949
83.84,161.829,24.304
83.864,302.532,34.222
83.935,159.262,25.092
83.99,174.193,12.596
84.012,103.677,24.199
84.017,162.665,21.827
84.019,203.651,29.38
84.025,1.075,10.429
84.036,76.657,35.741
84.104,20.725,14.724
84.154,101.666,35.0
84.19,1.566,10.127
84.202,183.617,25.715
84.249,97.986,48.2
84.319,62.473,253.033
84.411,268.754,57.589
84.478,227.311,11.236
84.488,284.137,49.32
84.528,67.504,12.46
84.546,245.897,16.049
84.558,153.134,397.206
84.695,266.35,96.595
84.714,93.777,60.836
84.79,187.749,79.942
84.793,261.159,36.633
84.813,251.475,292.028
84.826,35.319,31.907
84.875,112.862,67.09
84.919,277.771,40.64
84.975,357.974,11.192
85.026,106.626,16.189
85.093,283.938,17.086
85.117,193.275,22.417
85.161,350.954,10.825
85.176,231.903,14.346
85.351,67.467,109.912
85.549,79.7,10.029
85.599,49.291,78.124
85.656,334.042,20.945
85.668,158.055,87.102
85.735,43.687,12.899
85.743,78.358,13.648
85.753,25.123,23.836
85.81,149.544,35.014
85.878,173.485,10.775
85.891,332.09,12.935
85.931,343.401,33.685
86.063,37.338,120.171
86.147,297.942,30.96
86.262,94.038,11.826
86.275,53.6,14.378
86.458,313.809,24.746
86.477,72.927,18.652
86.543,93.183,19.703
86.618,305.38,14.839
86.71,131.116,33.988
86.761,5.292,16.168
86.795,346.068,15.494
86.961,28.757,57.812
87.004,323.33,10.184
87.118,326.732,19.559
87.12,273.658,37.271
87.151,298.754,16.081
87.193,58.403,20.891
87.333,68.156,29.207
87.422,110.164,22.738
87.545,17.949,11.851
87.661,63.663,18.176
87.668,11.395,13.277
87.692,30.665,13.054
87.735,16.981,25.996
87.74,123.957,23.692
87.75,26.272,12.114
87.931,56.37,17.917
87.952,307.678,211.691
87.968,29.722,19.264
88.017,291.119,20.034
88.064,353.528,13.64
88.072,39.834,16.618
88.075,67.742,16.182
88.198,63.01,20.164
88.248,25.415,25.43
88.264,189.405,11.776
88.748,46.748,13.237
89.147,119.535,86.861
89.368,307.136,60.066
89.644,92.834,10.076
-80.078,45.663,37.076
-80.226,42.429,99.558
-80.424,135.485,155.074
-80.452,40.176,10.001
-80.459,308.878,15.011
-80.465,49.105,17.986
-80.651,50.761,14.951
-80.671,140.866,18.673
-80.791,45.506,85.18
-80.964,314.116,11.815
-80.971,35.735,166.374
-81.034,48.307,11.534
-81.173,44.134,20.416
-81.209,46.039,32.994
-81.434,324.624,19.368
-81.444,317.225,98.23
-81.624,309.425,10.289
-81.648,65.221,79.788
-81.691,305.381,376.916
-81.697,319.62,15.34
-81.761,61.919,79.142
-81.845,321.171,22.666
-81.879,135.378,16.272
-81.969,25.094,95.083
-81.986,156.866,10.732
-82.054,58.327,12.103
-82.176,11.104,300.589
-82.241,59.574,12.406
-82.273,224.349,15.289
-82.292,221.11,16.52
-82.305,222.659,30.334
-82.328,253.427,15.588
-82.335,216.751,16.088
-82.395,357.661,61.238
-82.445,227.137,19.994
-82.47,229.152,15.797
-82.482,355.012,124.33
-82.589,28.513,11.779
-82.853,8.05,119.171
-82.891,271.355,73.746
-83.008,53.512,22.424
-83.049,350.538,101.758
-83.055,67.449,129.557
-83.076,86.601,28.922
-83.137,311.925,12.244
-83.205,73.621,17.482
-83.26,82.062,138.251
-83.264,9.077,32.494
-83.283,221.838,11.426
-83.295,149.545,114.437
-83.306,85.503,36.115
-83.415,274.936,37.213
-83.47,175.774,113.414
-83.504,272.096,14.872
-83.509,297.767,17.449
-83.524,91.015,439.222
-83.562,299.553,10.102
-83.614,352.849,15.106
-83.632,280.125,42.995
-83.666,84.01,45.522
-83.72,297.53,10.055
-83.724,19.518,17.651
-83.724,283.625,11.045
-83.74,163.086,194.702
-83.767,338.771,142.949
-83.827,255.293,16.553
-83.859,263.096,25.358
-83.878,321.111,11.786
-83.886,283.935,10.022
-83.889,314.332,17.69
-83.891,118.47,326.779
-83.992,309.129,74.405
-83.995,351.488,13.273
-84.098,79.763,14.227
-84.106,342.352,19.087
-84.142,5.953,194.479
-84.182,271.034,61.996
-84.214,323.234,14.018
-84.242,42.106,25.459
-84.243,346.818,41.069
-84.289,56.344,97.967
-84.355,225.114,76.698
-84.356,123.921,35.86
-84.37,305.73,11.509
-84.396,162.104,32.022
-84.396,207.775,72.338
-84.398,289.965,19.771
-84.458,313.432,315.029
-84.551,60.29,182.268
-84.564,257.419,12.816
-84.577,1.707,103.727
-84.604,308.041,13.583
-84.607,323.241,43.204
-84.674,219.287,28.843
-84.685,353.646,17.348
-84.694,175.357,30.427
-84.696,155.527,15.113
-84.755,150.077,72.857
-84.772,165.013,11.588
-84.797,307.008,22.626
-84.8,206.18,20.624
-84.904,319.648,19.48
-84.923,236.228,10.379
-84.942,51.859,16.571
-84.943,290.87,49.381
-84.945,165.434,20.747
-85.023,182.607,371.549
-85.059,323.816,46.062
-85.197,267.155,20.56
-85.211,238.442,11.016
-85.283,206.102,15.988
-85.357,49.863,139.342
-85.36,317.762,42.566
-85.373,45.265,18.454
-85.406,347.622,12.211
-85.415,307.841,127.296
-85.533,165.564,17.694
-85.549,209.671,13.928
-85.673,211.965,12.042
-85.891,68.044,17.258
-85.956,306.389,12.787
-86.028,344.341,12.881
-86.181,72.465,22.896
-86.259,284.854,58.511
-86.267,234.99,16.024
-86.355,48.828,132.347
-86.404,31.443,120.575
-86.53,238.146,10.361
-86.744,21.861,237.287
-86.787,53.664,11.444
-86.793,60.946,24.322
-86.867,297.314,14.238
-86.902,27.876,11.434
-86.925,48.277,10.912
-86.98,107.833,68.548
-87.127,40.684,30.614
-87.146,84.075,663.93
-87.256,312.06,20.423
-87.366,329.225,33.725
-87.389,251.247,46.926
-87.443,118.839,61.47
-87.493,357.876,1017.932
-87.575,332.977,11.268
-87.593,312.571,101.833
-87.66,262.344,13.936
-87.809,325.165,23.245
-87.833,126.381,10.696
-87.853,318.506,11.239
-88.026,45.279,1075.518
-88.1,114.782,183.172
-88.249,216.455,548.791
-88.267,156.869,10.897
-88.312,269.143,243.292
-88.317,80.983,28.66
-88.322,147.506,50.695
-88.528,184.693,11.606
-88.722,346.361,55.674
-88.728,168.88,88.607
-88.913,150.762,15.556
-88.997,19.199,55.408
-88.997,317.087,44.284
-89.039,337.777,60.358
-89.506,280.685,53.262
-89.645,128.203,233.698
